Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
IGUA3;"8,15";"-12,52";"-1,44";"0,568";"0,00%";"0,564";"-0,65";"8,22";"-0,60";"14,80";"5,80";"6,91%";"-4,53%";"0,34";"7,61%";"11,52%";"0,00";"-164.188.000,00";"-1,33";"-7,41%"
FGUI3;"12,00";"-12,41";"-2,15";"16,009";"0,00%";"25,203";"-2,20";"-57,76";"-2,05";"-70,17";"-70,17";"-27,72%";"-129,00%";"0,04";"-60,74%";"17,32%";"0,00";"-222.024.000,00";"-0,46";"2,13%"
IGUA6;"8,07";"-12,40";"-1,43";"0,562";"0,00%";"0,558";"-0,64";"8,14";"-0,59";"14,72";"5,77";"6,91%";"-4,53%";"0,34";"7,61%";"11,52%";"0,00";"-164.188.000,00";"-1,33";"-7,41%"
IGUA5;"7,98";"-12,26";"-1,41";"0,556";"0,00%";"0,552";"-0,64";"8,04";"-0,59";"14,63";"5,73";"6,91%";"-4,53%";"0,34";"7,61%";"11,52%";"0,00";"-164.188.000,00";"-1,33";"-7,41%"
PRVI3;"10,54";"-11,74";"1,61";"0,919";"0,00%";"0,565";"-250,86";"9,71";"-1,48";"9,87";"6,39";"9,46%";"-7,83%";"0,99";"6,15%";"-13,71%";"0,00";"525.170.000,00";"0,10";"16,19%"
MTIG3;"5,21";"-11,22";"-81,36";"12,686";"0,00%";"8,360";"-11,54";"-21,36";"-9,97";"-22,62";"-24,76";"-59,38%";"-113,09%";"0,27";"-47,80%";"725,28%";"0,00";"-7.835.380,00";"-4,95";"-26,54%"
CPNY3;"2,35";"-11,00";"0,42";"0,232";"0,00%";"0,054";"0,20";"1,21";"-0,13";"4,21";"4,21";"19,13%";"-2,11%";"2,26";"5,48%";"-3,86%";"0,00";"398.830.000,00";"2,33";"20,10%"
ECPR4;"90,74";"-9,92";"1,22";"0,000";"0,00%";"0,624";"175,57";"-82,97";"-1,29";"-82,60";"-82,72";"0,00%";"0,00%";"2,97";"-0,75%";"-12,28%";"0,00";"141.476.000,00";"0,00";"0,00%"
ECPR3;"90,25";"-9,87";"1,21";"0,000";"0,00%";"0,621";"174,62";"-82,52";"-1,29";"-82,15";"-82,27";"0,00%";"0,00%";"2,97";"-0,75%";"-12,28%";"0,00";"141.476.000,00";"0,00";"0,00%"
TUPY4;"48,21";"-9,72";"2,55";"0,659";"0,00%";"0,680";"1,84";"22,29";"-6,86";"30,11";"12,92";"2,96%";"-6,78%";"2,40";"4,48%";"-26,24%";"0,00";"2.503.340.000,00";"1,64";"6,98%"
GLOB4;"30,49";"-9,70";"10,45";"0,993";"0,00%";"0,862";"-3,91";"12,73";"-1,76";"14,83";"10,19";"7,80%";"-10,23%";"0,66";"9,61%";"-107,71%";"0,00";"2.774.000.000,00";"2,27";"-2,38%"
LWSA3;"3,77";"-9,51";"0,87";"1,440";"8,13%";"0,589";"7,93";"13,64";"13,88";"11,16";"5,86";"10,56%";"-15,15%";"1,26";"5,02%";"-9,14%";"22.100.600,00";"2.467.890.000,00";"0,03";"15,33%"
MSPA3;"47,00";"-9,21";"0,37";"1,700";"0,26%";"0,210";"25,08";"-17,66";"-0,61";"-28,15";"54,14";"-9,62%";"-18,47%";"1,10";"-1,23%";"-4,03%";"0,00";"811.958.000,00";"0,25";"2,05%"
FIEI3;"12,60";"-9,07";"0,42";"23,529";"0,00%";"0,268";"-3,39";"-5,81";"-0,95";"-9,13";"-9,77";"-405,09%";"-259,75%";"0,50";"-5,21%";"-4,63%";"1.205,82";"72.685.000,00";"0,34";"-21,87%"
WEST3;"8,08";"-9,06";"0,41";"0,595";"0,00%";"0,292";"0,77";"-2,16";"0,92";"0,50";"0,75";"-27,56%";"-6,57%";"2,72";"-28,86%";"-4,50%";"159.327,00";"220.337.000,00";"0,05";"-17,22%"
TERI3;"64,28";"-8,83";"0,29";"0,107";"0,00%";"0,081";"7,90";"7,20";"-0,26";"39,56";"39,56";"1,49%";"-1,91%";"1,03";"1,25%";"-3,27%";"0,00";"3.641.000.000,00";"1,43";"7,94%"
UCAS3;"1,48";"-8,47";"0,54";"0,409";"0,00%";"0,236";"2,44";"-5,56";"-0,91";"-11,28";"534,75";"-7,36%";"-4,83%";"1,46";"-5,01%";"-6,40%";"57.891,30";"180.413.000,00";"0,86";"0,79%"
